latitude;longitude;elevation;cumulative;d
2.790117583703489;-75.30329914040647;502.4450999999972;0.009998541699183069;0.009998541699183069
2.790129261322014;-75.30338830412022;502.3959999999934;0.01999709625141382;0.009998554552230749
2.790140939837102;-75.30347746783374;502.5222000000067;0.029995538166292288;0.00999844191487847
2.790152617441438;-75.30356663064599;502.6483000000007;0.039994092045840646;0.009998553879548355
2.790164295941371;-75.30365579435718;503.3883999999962;0.04999263239996732;0.009998540354126671
2.790175973529606;-75.30374495806625;504.6992999999929;0.05999118560538363;0.009998553205416311
2.790187652014381;-75.30383412177508;505.9560999999958;0.06998972528650288;0.009998539681119249
2.790199329587438;-75.30392328548182;506.3999999999942;0.07998827781942447;0.009998552532921595
2.790211008057072;-75.3040124491883;505.6561999999976;0.08998673140160293;0.00999845358217847
2.790222672956084;-75.30410161377874;504.9661999999953;0.09998515563117034;0.009998424229567409
2.790233458907238;-75.30419088895366;504.2737000000052;0.10998348028847724;0.009998324657306892
2.790244244851814;-75.30428016322811;503.4614000000001;0.11998180460558555;0.00999832431710832
2.790255030788839;-75.30436943750122;502.6242000000057;0.12998022782638696;0.009998423220801404
2.790265816717386;-75.3044587126722;501.7017999999953;0.13997855147062913;0.009998323644242153
2.790276602639348;-75.30454798694267;500.4958000000042;0.14997687477747;0.009998323306840867
2.790287388553759;-75.30463726121182;499.1704999999929;0.15997530917727842;0.009998434399808428
2.790298175363847;-75.30472653637976;497.9845000000059;0.16997363180975492;0.00999832263247649
2.790308961263188;-75.30481581064628;497.6631000000052;0.17997205334461508;0.009998421534860174
2.790319747154058;-75.30490508581063;497.3417000000045;0.1899703919866156;0.009998338642000526
2.79033057101688;-75.30499435561806;497.0203000000038;0.19996894047470315;0.009998548488087528
2.790342249395758;-75.30508351930973;497.5316000000021;0.20996737632688683;0.009998435852183681
2.790353926863878;-75.30517268210014;498.0728999999992;0.21996592414215602;0.009998547815269172
2.790365605227593;-75.30526184578946;498.5871999999945;0.22996445843038427;0.009998534288228252
2.790377282679585;-75.30535100947667;498.9054000000033;0.23996300557044326;0.009998547140058987
2.790388961028165;-75.30544017316363;499.1843999999983;0.2499615391860057;0.009998533615562442
2.790400638465003;-75.3055293368485;499.4633000000031;0.25996008565284134;0.009998546466835631
2.790412316798392;-75.30561850053311;498.2657999999938;0.2699585194825089;0.009998433829667556
2.790423994221029;-75.30570766331645;496.4762999999948;0.2799570652752814;0.009998545792772552
2.790435672539266;-75.30579682699872;494.7137999999977;0.2899555975413819;0.009998532266100486
2.790447349945802;-75.30588599067886;494.0418999999965;0.2999541426612741;0.009998545119892227
2.790459028248872;-75.30597515435879;494.155700000003;0.30995267425296924;0.009998531591695118
2.790470705640231;-75.30606431803658;494.3234999999986;0.319951218697503;0.009998544444533752
2.790482383928156;-75.30615348171415;494.6978999999992;0.329949663692241;0.009998444994738016
2.790494062209433;-75.30624264449135;495.2945999999938;0.3399481942746158;0.009998530582374845
2.79050573957804;-75.30633180816562;495.9453999999969;0.34994673770586143;0.009998543431245618
2.790517417843231;-75.30642097183964;496.1677999999956;0.35994526761265;0.00999852990678858
2.790529095196677;-75.30651013551156;495.4758000000002;0.3699438103709999;0.009998542758349903
2.7905407734467;-75.30659929918322;494.675900000002;0.37994233960369567;0.009998529232695782
2.790552450784991;-75.30668846285278;494.159599999999;0.3899407825742684;0.00999844297057272
2.790564129020773;-75.30677762562291;494.755799999999;0.3999393111315886;0.00999852855732018
2.790575806343917;-75.30686678929011;495.1986999999936;0.4099378525412639;0.009998541409675312
2.790587484563599;-75.30695595295707;495.4171999999962;0.4199363804229197;0.009998527881655792
2.790599161871577;-75.3070451166219;495.2508999999991;0.42993492115692544;0.009998540734005766
2.790610840076093;-75.30713428028649;495.2736000000004;0.4399334615530462;0.009998540396120767
2.790622518273023;-75.30722344394991;495.4864999999991;0.4499318893121318;0.009998427759085597
2.790634195559201;-75.30731260671205;495.8916000000027;0.45993042903271947;0.00999853972058765
2.790645873740975;-75.30740177037309;496.2967000000062;0.46992895522932115;0.009998526196601673
