35,Alta Consejería De La Felicidad Y El Bienestar – Gobernación De Cundinamarca,Link,https://forms.mintic.gov.co/cientificosdatos/admintic/admin/ver_documento_reto/doc_anexo1/52665121/20210515214617
36,Nimbutech,Link,https://forms.mintic.gov.co/cientificosdatos/admintic/admin/ver_documento_reto/doc_anexo1/1113661325/20210517205540
37,Positiva Compañia De Seguros,Link,https://forms.mintic.gov.co/cientificosdatos/admintic/admin/ver_documento_reto/doc_anexo1/1020717956/20210513175046
38,Procolombia,Link,https://forms.mintic.gov.co/cientificosdatos/admintic/admin/ver_documento_reto/doc_anexo1/80222314/20210508010935
39,Procolombia,Link,https://forms.mintic.gov.co/cientificosdatos/admintic/admin/ver_documento_reto/doc_anexo1/80222314/20210507225839
40,Productos Alimenticios Doria S.A.S.,Link,https://forms.mintic.gov.co/cientificosdatos/admintic/admin/ver_documento_reto/doc_anexo1/1026286572/20210514211659
41,Refinancia Sas,Link,https://forms.mintic.gov.co/cientificosdatos/admintic/admin/ver_documento_reto/doc_anexo1/79797664/20210507223405
42,Secretaría De Asuntos Internacionales- Gobernación De Cundinamarca,Link,https://forms.mintic.gov.co/cientificosdatos/admintic/admin/ver_documento_reto/doc_anexo1/1075681443/20210517200024
43,Secretaría Distrital De Desarrollo Económico,Link,https://forms.mintic.gov.co/cientificosdatos/admintic/admin/ver_documento_reto/doc_anexo1/52818269/20210507210442
44,Sigma Ingeniería S.A.,Link,https://forms.mintic.gov.co/cientificosdatos/admintic/admin/ver_documento_reto/doc_anexo1/1113309797/20210505223606
45,The Market Connection Group Sas,Link,https://forms.mintic.gov.co/cientificosdatos/admintic/admin/ver_documento_reto/doc_anexo1/52927485/20210506204817
46,U-Movil,Link,https://forms.mintic.gov.co/cientificosdatos/admintic/admin/ver_documento_reto/doc_anexo1/19258557/20210515163202
47,Ultracem S.A.S,Link,https://forms.mintic.gov.co/cientificosdatos/admintic/admin/ver_documento_reto/doc_anexo1/1140819538/20210515181233
48,Ultracem S.A.S,Link,https://forms.mintic.gov.co/cientificosdatos/admintic/admin/ver_documento_reto/doc_anexo1/1140819538/20210515180520
49,Universidad De Boyacá,Link,https://forms.mintic.gov.co/cientificosdatos/admintic/admin/ver_documento_reto/doc_anexo1/46667491/20210507010242
50,Universidad De Córdoba,Link,https://forms.mintic.gov.co/cientificosdatos/admintic/admin/ver_documento_reto/doc_anexo1/17973300/20210514194502
